entity_id,sku,libelle,sd_code_sogge,sd_marque,sd_conditionnement,sd_volume,sd_industriel,
36346,c10-1100002860,GLACEAU SUNSHINE AGRUM GOYA 50CL PET X12,,GLACEAU,PET,50CL,COCA COLA ENTREPRISE,
36345,c10-1100001780,GLACEAU RESTORE 50CL PET X12,,GLACEAU,PET,50CL,COCA COLA ENTREPRISE,
36348,c10-1100006310,HAWAI TROPICAL 33CL BTE SLIM X24,,HAWAI,BTE,33CL,COCA COLA ENTREPRISE,
36347,c10-1100005675,HAWAI 2L PET X6,,HAWAI,PET,2L,COCA COLA ENTREPRISE,
83931,fb-112254,"HONEST CITRON MIEL BIO PET     12X37,5CL",84sogge-548,HONEST,PET,37.5L,COCA COLA ENTREPRISE,COCA COLA ENTREPRISE
36349,c10-1100007002,HONEST CITRON MIEL BIO 37.5CL PET X12,84sogge-548,HONEST,PET,37.5L,COCA COLA ENTREPRISE,COCA COLA ENTREPRISE
36350,c10-1100007003,HONEST GRENADE MYRTIL BIO 37.5CL PET X12,84sogge-549,HONEST,PET,37.5L,COCA COLA ENTREPRISE,COCA COLA ENTREPRISE
83932,fb-112255,"HONEST GRENADE MYRTIL. BIO PET 12X37,5CL",84sogge-549,HONEST,PET,37.5L,COCA COLA ENTREPRISE,COCA COLA ENTREPRISE
36351,c10-1100007004,HONEST ORANGE MANGUE BIO 37.5CL PET X12,84sogge-550,HONEST,PET,37.5L,COCA COLA ENTREPRISE,COCA COLA ENTREPRISE
83933,fb-112256,"HONEST ORANGE MANGUE   BIO PET 12X37,5CL",84sogge-550,HONEST,PET,37.5L,COCA COLA ENTREPRISE,COCA COLA ENTREPRISE
36369,c10-1100000331,MINUTE MAID ABC POMME 20CL VP X24,,MINUTE MAID,BTL,20CL,COCA COLA ENTREPRISE,
36363,c10-1100000321,MINUTE MAID ABC ORANGE BIB 10L,,MINUTE MAID,BIB,10L,COCA COLA ENTREPRISE,
36354,c10-1100000387,MINUTE MAID ABC FRUIT ROUGE 33CL BTE X6,,MINUTE MAID,BTE,33CL,COCA COLA ENTREPRISE,
36359,c10-1100000325,MINUTE MAID ABC ORANGE 20CL VP X24,,MINUTE MAID,BTL,20CL,COCA COLA ENTREPRISE,
36371,c10-1100000386,MINUTE MAID ABC POMME 33CL BTE X6,,MINUTE MAID,BTE,33CL,COCA COLA ENTREPRISE,
82441,mp-251129,M.MAID MULTIVIT. IVC 20CL X24,,MINUTE MAID,,,COCA COLA ENTREPRISE,
36365,c10-1100001833,MINUTE MAID ABC PAMPLEMOUSSE 33CL BTEX24,,MINUTE MAID,BTE,33CL,COCA COLA ENTREPRISE,
